time_s,cylinder_black,cone_s2_red,cone_s05_blue
220.6908270485501,,0.000594,
220.70663479595558,,0.000594,
220.72244254336107,,0.000594,
220.73825029076656,,0.000594,
220.75405803817205,,0.000594,
220.76986578557754,,0.000594,
220.78567353298303,,0.000594,
220.80148128038851,,0.000594,
220.817289027794,,0.000594,
220.8330967751995,,0.000594,
220.84890452260498,,0.000594,
220.86471227001047,,0.000594,
220.88052001741596,,0.000594,
220.89632776482148,,0.000594,
220.91213551222697,,0.000594,
220.92794325963246,,0.000594,
220.94375100703795,,0.000594,
220.95955875444344,,0.000594,
220.97536650184892,,0.000594,
220.9911742492544,,0.000594,
221.0069819966599,,0.000594,
221.0227897440654,,0.000594,
221.03859749147088,,0.000594,
221.05440523887637,,0.000594,
221.07021298628186,,0.000594,
221.08602073368735,,0.000594,
221.10182848109284,,0.000594,
221.11763622849833,,0.000594,
221.13344397590382,,0.000594,
221.1492517233093,,0.000594,
221.1650594707148,,0.000594,
221.18086721812028,,0.000594,
221.19667496552577,,0.000594,
221.21248271293126,,0.000594,
221.22829046033675,,0.000594,
221.24409820774224,,0.000594,
221.25990595514773,,0.000594,
221.27571370255322,,0.000594,
221.29152144995874,,0.000594,
221.30732919736423,,0.000594,
221.32313694476971,,0.000594,
221.3389446921752,,0.000594,
221.3547524395807,,0.000594,
221.37056018698618,,0.000594,
221.38636793439167,,0.000594,
221.40217568179716,,0.000594,
221.41798342920265,,0.000594,
221.43379117660814,,0.000594,
221.44959892401363,,0.000594,
221.46540667141912,,0.000594,
221.4812144188246,,0.000594,
221.4970221662301,,0.000594,
221.51282991363558,,0.000594,
221.52863766104107,,0.000594,
221.54444540844656,,0.000594,
221.56025315585205,,0.000594,
221.57606090325754,,0.000594,
221.59186865066303,,0.000594,
221.60767639806852,,0.000594,
221.623484145474,,0.000594,
221.6392918928795,,0.000594,
221.65509964028502,,0.000594,
221.6709073876905,,0.000594,
221.686715135096,,0.000594,
221.70252288250148,,0.000594,
221.71833062990697,,0.000594,
221.73413837731246,,0.000594,-0.000593
221.74994612471795,,0.000594,-0.000593
221.76575387212344,,0.000594,
221.78156161952893,,0.000594,
221.79736936693442,,0.000594,
221.8131771143399,,0.000594,
221.8289848617454,,0.000594,-0.000297
221.8447926091509,,0.000594,-0.000297
221.86060035655638,,0.000594,
221.87640810396186,,0.000594,
221.89221585136735,,0.000594,-0.000297
221.90802359877284,,0.000594,-0.000297
221.92383134617833,,0.000594,-0.000297
221.93963909358382,,0.000594,-0.000297
221.9554468409893,,0.000594,-0.000297
221.9712545883948,,0.000594,-0.000297
221.9870623358003,,0.000594,
222.00287008320578,,0.000594,
222.01867783061127,,0.000594,
222.03448557801676,,0.000594,
222.05029332542227,,0.000594,
222.06610107282776,,0.000594,
222.08190882023325,,0.000594,
222.09771656763874,,0.000594,
222.11352431504423,,0.000594,
222.12933206244972,,0.000594,
222.1451398098552,,0.000594,
222.1609475572607,,0.000594,
222.1767553046662,,0.000594,
222.19256305207168,,0.000594,
222.20837079947717,,0.000594,
222.22417854688265,,0.000594,
222.23998629428814,,0.000594,
222.25579404169363,,0.000594,
222.27160178909912,,0.000594,
222.2874095365046,,0.000594,
222.3032172839101,,0.000594,
222.3190250313156,,0.000594,
222.33483277872108,,0.000594,
222.35064052612657,,0.000594,
222.36644827353206,,0.000594,
222.38225602093755,,0.000594,
222.39806376834304,,0.000594,
222.41387151574855,,0.000594,
222.42967926315404,,0.000594,
222.44548701055953,,0.000594,
222.46129475796502,,0.000594,
222.4771025053705,,0.000594,
222.492910252776,,0.000594,
222.5087180001815,,0.000594,
222.52452574758698,,0.000594,
222.54033349499247,,0.000594,
222.55614124239796,,0.000594,
222.57194898980345,,0.000594,
222.58775673720893,,0.000594,
222.60356448461442,,0.000594,
222.6193722320199,,0.000594,
222.6351799794254,,0.000594,
222.6509877268309,,0.000594,
222.66679547423638,,0.000594,
222.68260322164187,,0.000594,
222.69841096904736,,0.000594,
222.71421871645285,,0.000594,
222.73002646385834,,0.000594,
222.74583421126383,,,0.000297
222.76164195866932,,,0.000297
222.7774497060748,,,0.000297
222.79325745348032,,,0.000297
222.8090652008858,,,0.000297
222.8248729482913,,,0.000297
222.8406806956968,,,0.000297
222.85648844310228,,,0.000297
222.87229619050777,,,0.000297
222.88810393791326,,,0.000297
222.90391168531875,,,0.000297
222.91971943272424,,,0.000297
222.93552718012972,,,0.000297
222.9513349275352,,,0.000297
222.9671426749407,,,0.000297
222.9829504223462,,,0.000297
222.99875816975168,,,0.000000
223.01456591715717,,,0.000000
223.03037366456266,,,0.000000
223.04618141196815,,,0.000000
223.06198915937364,,,0.000000
223.07779690677913,,,0.000000
223.09360465418462,,,0.000297
223.1094124015901,,,0.000297
223.1252201489956,,,0.000297
223.14102789640108,,,0.000297
223.15683564380657,,,0.000297
223.1726433912121,,,0.000297
223.18845113861758,,,0.000297
223.20425888602307,,,0.000297
223.22006663342856,,,-0.000148
223.23587438083405,,,-0.000148
223.25168212823954,,,0.000297
223.26748987564503,,,0.000297
223.28329762305052,,,0.000297
223.299105370456,,,0.000297
223.3149131178615,,,0.000297
223.33072086526698,,,0.000297
223.34652861267247,,,0.000297
223.36233636007796,,,0.000297
223.37814410748345,,,0.000297
223.39395185488894,,,0.000297
223.40975960229443,,,0.000297
223.42556734969992,,,0.000297
223.4413750971054,,,0.000297
223.4571828445109,,,0.000297
223.47299059191639,,,0.000297
223.48879833932187,,,0.000297
223.50460608672736,,,0.000297
223.52041383413285,,,0.000297
223.53622158153837,,,0.000297
223.55202932894386,,,0.000297
223.56783707634935,,,0.000297
223.58364482375484,,,0.000297
223.59945257116033,,,0.000297
223.61526031856582,,,0.000297
223.6310680659713,,,0.000297
223.6468758133768,,,0.000297
223.66268356078228,,,0.000297
223.67849130818777,,,0.000297
223.69429905559326,,,0.000297
223.71010680299875,,,0.000297
223.72591455040424,,,0.000297
223.74172229780973,,,0.000297
223.75753004521522,,,-0.000148
223.7733377926207,,,-0.000148
223.7891455400262,,,-0.000148
223.8049532874317,,,-0.000148
223.82076103483718,,,0.000297
223.83656878224267,,,0.000297
223.85237652964815,,,0.000297
223.86818427705364,,,0.000297
223.88399202445913,,,0.000000
223.89979977186462,,,0.000000
223.9156075192701,,,0.000000
223.93141526667563,,,0.000000
223.94722301408112,,,0.000000
223.9630307614866,,,0.000000
223.9788385088921,,,0.000000
223.99464625629759,,,0.000000
224.01045400370307,,,0.000297
224.02626175110856,,,0.000297
224.04206949851405,,,0.000297
224.05787724591954,,,0.000297
224.07368499332503,,,0.000297
224.08949274073052,,,0.000297
224.105300488136,,,0.000297
224.1211082355415,,,0.000297
224.136915982947,,,0.000297
224.15272373035248,,,0.000297
224.16853147775797,,,0.000297
224.18433922516346,,,0.000297
224.20014697256894,,,0.000297
224.21595471997443,,,0.000297
224.23176246737992,,,0.000297
224.2475702147854,,,0.000297
224.2633779621909,,,0.000297
224.2791857095964,,,0.000297
224.2949934570019,,,0.000297
224.3108012044074,,,0.000297
224.3266089518129,,,0.000297
