time_s,cylinder_AU,cone_s2_AU,cone_s05_AU
269.985,0.09515717926932882,,
270.015,0.10212404418011896,,-0.000679694137638063
270.044,-0.01917708459764535,0.0,-0.000679694137638063
270.074,-0.018748229963183222,0.00016992353440951574,-0.000679694137638063
270.104,-0.0183517417162277,0.0,-0.000679694137638063
270.133,-0.018181818181818184,0.0,-0.000679694137638063
270.163,-0.018011894647408665,,-0.000679694137638063
270.193,-0.009005947323704333,,-0.000679694137638063
270.222,-0.009005947323704333,,-0.000679694137638063
270.252,-0.009005947323704333,,-0.000679694137638063
270.282,-0.020730671197960918,,-0.000679694137638063
270.311,-0.020900594732370437,,-0.000679694137638063
270.341,-0.018861512319456247,,-0.000679694137638063
270.37,-0.018011894647408665,,-0.000679694137638063
270.4,-0.009005947323704333,,-0.000679694137638063
270.43,-0.009005947323704333,,-0.000679694137638063
270.459,-0.009005947323704333,,-0.000679694137638063
270.489,-0.009005947323704333,,-0.000679694137638063
270.519,-0.009005947323704333,,-0.000679694137638063
270.548,-0.018011894647408665,,-0.000679694137638063
270.578,-0.018181818181818184,,-0.000679694137638063
270.608,-0.020730671197960918,,-0.000679694137638063
270.637,-0.020900594732370437,,-0.000679694137638063
270.667,-0.009005947323704333,,-0.000679694137638063
270.697,-0.009005947323704333,,-0.000679694137638063
270.726,-0.009005947323704333,,-0.000679694137638063
270.756,-0.009005947323704333,,-0.000679694137638063
270.785,-0.009005947323704333,,-0.000679694137638063
270.815,-0.009005947323704333,,-0.000679694137638063
270.845,-0.009005947323704333,,-0.000679694137638063
270.874,-0.009005947323704333,,-0.000679694137638063
270.904,-0.009005947323704333,,-0.000679694137638063
270.934,-0.009005947323704333,,-0.000679694137638063
270.963,-0.009005947323704333,,-0.000679694137638063
270.993,-0.009005947323704333,,-0.000679694137638063
271.023,-0.009005947323704333,,-0.000679694137638063
271.052,-0.009005947323704333,,-0.000679694137638063
271.082,-0.009005947323704333,,-0.000679694137638063
271.111,-0.009005947323704333,,-0.000679694137638063
271.141,-0.009005947323704333,,-0.000679694137638063
271.171,-0.009005947323704333,,-0.000679694137638063
271.2,-0.009005947323704333,,-0.000679694137638063
271.23,-0.009005947323704333,,-0.000679694137638063
271.26,-0.009005947323704333,,-0.000679694137638063
271.289,-0.009005947323704333,,-0.000679694137638063
271.319,-0.009005947323704333,,-0.000679694137638063
271.349,-0.009005947323704333,,-0.000679694137638063
271.378,-0.009005947323704333,,-0.000679694137638063
271.408,-0.009005947323704333,,-0.000679694137638063
271.437,-0.009005947323704333,,-0.000679694137638063
271.467,-0.009005947323704333,,-0.000679694137638063
271.497,-0.009005947323704333,,-0.000679694137638063
271.526,-0.009005947323704333,,-0.000679694137638063
271.556,-0.009005947323704333,,-0.000679694137638063
271.586,-0.009005947323704333,,-0.000679694137638063
271.615,-0.009005947323704333,,-0.000679694137638063
271.645,-0.009005947323704333,,-0.000679694137638063
271.675,-0.009005947323704333,,-0.000679694137638063
271.704,-0.009005947323704333,,-0.000679694137638063
271.734,-0.009005947323704333,,-0.000679694137638063
271.763,-0.009005947323704333,,-0.000679694137638063
271.793,-0.009005947323704333,,-0.000679694137638063
271.823,-0.009005947323704333,,-0.000679694137638063
271.852,-0.009005947323704333,,-0.000679694137638063
271.882,-0.009005947323704333,,-0.000679694137638063
271.912,-0.009005947323704333,,-0.000679694137638063
271.941,-0.009005947323704333,,-0.000679694137638063
271.971,-0.009005947323704333,,-0.000679694137638063
272.001,-0.009005947323704333,,-0.000679694137638063
272.03,-0.009005947323704333,,-0.000679694137638063
272.06,-0.009005947323704333,,-0.000679694137638063
272.09,-0.009005947323704333,,-0.000679694137638063
272.119,-0.009005947323704333,,-0.000679694137638063
272.149,-0.009005947323704333,,-0.000679694137638063
272.178,-0.009005947323704333,,-0.000679694137638063
272.208,-0.009005947323704333,,-0.000679694137638063
272.238,-0.008836023789294817,0.00016992353440951574,-0.000679694137638063
272.267,-0.009005947323704333,0.00016992353440951574,-0.000679694137638063
272.297,-0.009005947323704333,0.00016992353440951574,-0.000679694137638063
272.327,-0.009005947323704333,0.00016992353440951574,-0.000679694137638063
272.356,-0.009005947323704333,0.00016992353440951574,-0.000679694137638063
272.386,-0.009005947323704333,0.00016992353440951574,-0.000679694137638063
272.416,-0.008836023789294817,0.00016992353440951574,-0.000679694137638063
