xi,H_um
0.17864,10.0969
0.17922,10.0969
0.17980,10.0969
0.18038,10.0969
0.18095,10.0969
0.18153,10.0969
0.18211,10.0969
0.18268,10.0969
0.18326,10.0969
0.18384,10.0969
0.18442,10.0969
0.18499,10.0969
0.18557,10.0969
0.18615,10.0969
0.18673,10.0969
0.18730,10.0755
0.18788,10.0755
0.18846,10.0755
0.18904,10.0755
0.18961,10.0755
0.19019,10.0755
0.19077,10.0755
0.19135,10.0755
0.19192,10.0755
0.19250,10.0755
0.19308,10.0755
0.19366,10.0755
0.19423,10.0755
0.19481,10.0755
0.19539,10.0542
0.19597,10.0542
0.19654,10.0542
0.19712,10.0542
0.19770,10.0542
0.19828,10.0542
0.19885,10.0542
0.19943,10.0542
0.20001,10.0328
0.20059,10.0328
0.20116,10.0328
0.20174,10.0328
0.20232,10.0328
0.20290,10.0328
0.20347,10.0328
0.20405,10.0328
0.20463,10.0328
0.20521,10.0328
0.20578,10.0328
0.20636,10.0328
0.20694,10.0328
0.20752,10.0328
0.20809,10.0114
0.20867,10.0114
0.20925,10.0114
0.20983,10.0114
0.21040,10.0114
0.21098,10.0114
0.21156,10.0114
0.21214,10.0114
0.21271,10.0114
0.21329,10.0114
0.21387,10.0114
0.21445,10.0114
0.21502,10.0114
0.21560,10.0114
0.21618,10.0114
0.21676,10.0114
0.21733,9.9901
0.21791,9.9901
0.21849,9.9901
0.21907,9.9901
0.21964,9.9901
0.22022,9.9901
0.22080,9.9901
0.22137,9.9901
0.22195,9.9901
0.22253,9.9901
0.22311,9.9901
0.22368,9.9901
0.22426,9.9901
0.22484,9.9901
0.22542,9.9901
0.22599,9.9901
0.22657,9.9687
0.22715,9.9687
0.22773,9.9687
0.22830,9.9687
0.22888,9.9687
0.22946,9.9687
0.23004,9.9687
0.23061,9.9687
0.23119,9.9687
0.23177,9.9687
0.23235,9.9687
0.23292,9.9687
0.23350,9.9687
0.23408,9.9687
0.23466,9.9473
0.23523,9.9473
0.23581,9.9473
0.23639,9.9473
0.23697,9.9473
0.23754,9.9473
0.23812,9.9473
0.23870,9.9473
0.23928,9.9473
0.23985,9.9473
0.24043,9.9473
0.24101,9.9473
0.24159,9.9260
0.24216,9.9260
0.24274,9.9260
0.24332,9.9260
0.24390,9.9260
0.24447,9.9260
0.24505,9.9260
0.24563,9.9260
0.24621,9.9046
0.24678,9.9046
0.24736,9.9046
0.24794,9.9046
0.24852,9.9046
0.24909,9.9046
0.24967,9.9046
0.25025,9.9046
0.25083,9.9046
0.25140,9.9046
0.25198,9.9046
0.25256,9.9046
0.25314,9.9046
0.25371,9.9046
0.25429,9.9046
0.25487,9.9046
0.25545,9.8832
0.25602,9.8832
0.25660,9.8832
0.25718,9.8832
0.25775,9.8832
0.25833,9.8832
0.25891,9.8832
0.25949,9.8832
0.26006,9.8832
0.26064,9.8832
0.26122,9.8832
0.26180,9.8832
0.26237,9.8832
0.26295,9.8832
0.26353,9.8832
0.26411,9.8832
0.26468,9.8619
0.26526,9.8619
0.26584,9.8619
0.26642,9.8619
0.26699,9.8619
0.26757,9.8619
0.26815,9.8619
0.26873,9.8619
0.26930,9.8619
0.26988,9.8619
0.27046,9.8619
0.27104,9.8619
0.27161,9.8405
0.27219,9.8405
0.27277,9.8405
0.27335,9.8405
0.27392,9.8405
0.27450,9.8405
0.27508,9.8405
0.27566,9.8405
0.27623,9.8405
0.27681,9.8405
0.27739,9.8405
0.27797,9.8405
0.27854,9.8405
0.27912,9.8405
0.27970,9.8405
0.28028,9.8405
0.28085,9.8405
0.28143,9.8405
0.28201,9.8191
0.28259,9.8191
0.28316,9.8191
0.28374,9.8191
0.28432,9.8191
0.28490,9.8191
0.28547,9.8191
0.28605,9.8191
0.28663,9.8191
0.28721,9.8191
0.28778,9.8191
0.28836,9.8191
0.28894,9.8191
0.28952,9.8191
0.29009,9.8191
0.29067,9.8191
0.29125,9.7978
0.29183,9.7978
0.29240,9.7978
0.29298,9.7978
0.29356,9.7978
0.29414,9.7978
0.29471,9.7764
0.29529,9.7764
0.29587,9.7764
0.29644,9.7764
0.29702,9.7764
0.29760,9.7764
0.29818,9.7764
0.29875,9.7764
0.29933,9.7764
0.29991,9.7764
0.30049,9.7764
0.30106,9.7764
0.30164,9.7764
0.30222,9.7764
0.30280,9.7764
0.30337,9.7764
0.30395,9.7764
0.30453,9.7764
0.30511,9.7550
0.30568,9.7550
0.30626,9.7550
0.30684,9.7550
0.30742,9.7550
0.30799,9.7550
0.30857,9.7550
0.30915,9.7550
0.30973,9.7550
0.31030,9.7550
0.31088,9.7550
0.31146,9.7550
0.31204,9.7550
0.31261,9.7550
0.31319,9.7550
0.31377,9.7550
0.31435,9.7550
0.31492,9.7550
0.31550,9.7337
0.31608,9.7337
0.31666,9.7337
0.31723,9.7337
0.31781,9.7337
0.31839,9.7337
0.31897,9.7337
0.31954,9.7337
0.32012,9.7337
0.32070,9.7337
0.32128,9.7337
0.32185,9.7337
0.32243,9.7123
0.32301,9.7123
0.32359,9.7123
0.32416,9.7123
0.32474,9.7123
0.32532,9.7123
0.32590,9.7123
0.32647,9.7123
0.32705,9.7123
0.32763,9.7123
0.32821,9.7123
0.32878,9.7123
0.32936,9.7123
0.32994,9.7123
0.33052,9.7123
0.33109,9.7123
0.33167,9.7123
0.33225,9.7123
0.33282,9.6909
0.33340,9.6909
0.33398,9.6909
0.33456,9.6909
0.33513,9.6909
0.33571,9.6909
0.33629,9.6909
0.33687,9.6909
0.33744,9.6909
0.33802,9.6909
0.33860,9.6909
0.33918,9.6909
0.33975,9.6909
0.34033,9.6909
0.34091,9.6909
0.34149,9.6909
0.34206,9.6909
0.34264,9.6909
0.34322,9.6909
0.34380,9.6909
0.34437,9.6909
0.34495,9.6909
0.34553,9.6909
0.34611,9.6696
0.34668,9.6696
0.34726,9.6696
0.34784,9.6696
0.34842,9.6696
0.34899,9.6696
0.34957,9.6482
0.35015,9.6482
0.35073,9.6482
0.35130,9.6482
0.35188,9.6482
0.35246,9.6482
0.35304,9.6482
0.35361,9.6482
0.35419,9.6482
0.35477,9.6482
0.35535,9.6696
0.35592,9.6696
0.35650,9.6696
0.35708,9.6696
0.35766,9.6482
0.35823,9.6482
0.35881,9.4559
0.35939,9.4559
0.35997,9.4773
0.36054,9.4773
0.36112,9.8191
0.36170,9.8191
0.36228,9.8191
0.36285,9.8191
0.36343,9.8191
0.36401,9.8191
0.36459,9.8191
0.36516,9.8191
0.36574,9.8191
0.36632,9.8191
0.36690,9.8191
0.36747,9.8191
0.36805,9.8191
0.36863,9.8191
0.36920,9.8191
0.36978,9.8191
0.37036,9.8191
0.37094,9.8191
0.37151,9.8191
0.37209,9.8191
0.37267,9.8191
0.37325,9.8191
0.37382,9.8191
0.37440,9.8191
0.37498,9.8191
0.37556,9.8191
